ONLINE AUCTION CLOSING - 10 JANUARY 2026 @ 4:00PM (SATURDAY),,,,
,,,,
,VEHICLE DETAILS,AUCTION STARTING PRICE,LOCATION,DRIVE LINK
94,DC- -Maruti Grand Vitara Smart Hybrid Zeta HR16AB3382 PETROL HYBRID 2023,290000,"M/S PREM MOTORS PVT. LTD., PALAM VIHAR GURGAON",https://drive.google.com/drive/folders/1GjROBIL1wiDjtXmtA8ayoQnJpUBXMKmk
95,DC- -Hyundai Creta 1.6 CRDI SX+ HR10AE0895 DIESEL 2018,260000,"M/S. MALWA HYUNDAI,NH 1 31 km STONE G T ROAD KUNDLI, HARYANA",https://drive.google.com/drive/folders/1nwEKZX-EszZDNFFm7EATq161X-AmYYkD
96,DC- -Hyundai i20 MAGNA+ CRDI HR05BB6515 DIESEL 2019,181000,KAUSHALYA MOTORS / KARNAL,https://drive.google.com/drive/folders/1INWLIj5PPvj-A9Yw8Nof6OX6a6xRuXK7
97,DC- -Toyota Etios Liva N/A HP711838 DIESEL 2013,107000,"Anand Auto Care Pvt LtdANAND TOYOTA SOLANShamlaich,Barog Bye Pass, SOLAN, HIMACHAL PRADESH, 173211",https://drive.google.com/drive/folders/1rmdyjWvkjS1ohHT2dm6jUT8tmtjWC7Ko
98,DC- -Hyundai Aura 1.2MT CNG S GJ34H3804 PETROL-CNG 2022,206000,SHIVANSHU MOTORS VADODARA,https://drive.google.com/drive/folders/1Bz8TRUJE6ZomlhnWXYmnUlwjVIBExygV
99,DC- -Hyundai Creta 1.5 CRDI MT E GJ27EB1694 DIESEL 2022,365000,"GALLOPS HYUNDAI, RABARI COLONY AHMEDABAD",https://drive.google.com/drive/folders/16rV790oOuAH_QnEZbsNURjWUOrg_b0VN
100,DC- -Hyundai i20 ASTA 1.4 DSL BSIV GJ23BL0316 DIESEL 2016,121000,PRESIDENT HYUNDAI GODHRA,https://drive.google.com/drive/folders/1VWfIFojRqDdXTows3-KlmQUF_oIOodNT
101,DC- -Mahindra Bolero B6 O Bsvi GJ22P1295 DIESEL 2022,229000,MEGA AUTOMOBILES ANKLESHWAR,https://drive.google.com/drive/folders/1GkSYpZFVvjr2o9agGpOxpeu8c1hIhURK
102,DC- -Maruti Suzuki Eeco 5 STR W/O A/C &CNG GJ20CA9287 PETROL-CNG 2025,171000,RB CARS GODHRA,https://drive.google.com/drive/folders/1bbu6_5VdayLcPBksn6LkuMS4qNVGNOIK
103,DC- -Hyundai venue 1.0 TURBO GDI MT SX(O) GJ17CA4862 PETROL 2020,205000,M/S PT MOTORS PVT LTD ;mega jidc khreadi mega jidc khreadi dohad GUJARAT Dohad 389151.,https://drive.google.com/drive/folders/1yxfvoOi55AO83xbIX6u8WNkTopE7kSBQ
104,DC- -Hyundai i10 1.2 MAGNA BS IV GJ11S9038 PETROL-LPG 2011,45000,"Bapasitaram auto spray colour world; Address - Bapasitaram auto spray colour world, Paliyad Rd, Botad, Gujarat 364710",https://drive.google.com/drive/folders/1vaeHU6Gw9wjmf1G8E-ei2B5-y2zNLiro
105,DC- -Hyundai i20 MAGNA + VTVT GJ07DC7797 PETROL 2020,192000,"MANOJ KACHWALA, OPP.SANT MARRY CHURCH AHMEDABAD ROAD GODHRA GUJARAT",https://drive.google.com/drive/folders/1ilSuhawh_8fXdc5kxzUBbA9F4IYZJkfz
106,DC- -Tata Altroz 1.2 RTN BS6 GJ06PD1568 PETROL 2020,141000,SP TATA VADODARA Baroda,https://drive.google.com/drive/folders/10TINjssoDgq3MFq-q_XuZwpO7FNRneFA
107,DC- -Tata Nexon FRLS+DMT GJ05RY1189 DIESEL 2024,287000,JALARAM TATA SURAT SURAT,https://drive.google.com/drive/folders/1Ji-6fnSpkqCw_WzMuXq-vmI-6-98PR8u
108,DC- -Hyundai Grand I10 MAGNA GJ05JS6917 DIESEL 2017,117000,"Navjivan Motors Private Limited - R S No.116, F P No.76,",https://drive.google.com/drive/folders/1v08ZRjhC4lfP5wkN0zaCL2gwj0ruLNkL
109,DC- -Maruti Suzuki ALTO 800 LXI GJ05JS0475 PETROL 2016,61000,"neemar motors ,neemar motors ,Khargone,MADHYA PRADESH,Khargoan,0",https://drive.google.com/drive/folders/1uGOyjdF6eQvk_s2laMD9KMMZvyzlA_2i
110,DC- -Renault Fluence Dsl E4 GJ05JM0704 DIESEL 2014,95000,"Unnati Vehicles Pvt. Ltd., Plot No. 25/1/1, Near Niwec Club, M.I.D.C. Area Satpur Nashik Maharashtra 422007",https://drive.google.com/drive/folders/13rVk5niRn2OVa2ZJERW9BMu8yXXK3fCe
111,DC- -Maruti Suzuki Alto 800 LXI GJ01RV1070 PETROL-CNG 2016,60000,"GOKUL AUTO CARE,AHMEDABAD",https://drive.google.com/drive/folders/1X05fm86XwQMLecP7dm2nmE7FJ4iPU9WO
112,DC- -Mahindra XUV300 DIESEL W8(O) GJ01KU7670 DIESEL 2019,206000,"PUNJAB AUTOMOBILES, AHMEDABAD",https://drive.google.com/drive/folders/13XJr4csosGaCTxW0_MuWmv8-ER5fSu3b
113,DC- -Toyota Innova Crysta 2.8 Z GJ01KU2511 DIESEL 2019,593000,D J TOYOTA (VASTRAL ),https://drive.google.com/drive/folders/1jDhjZohMA2IBt4EY3V838qMnz9T-z8GH
114,DC- -Hyundai Creta 1.6 VTVT SX DL2CAZ5200 PETROL 2018,260000,"PROFESSIONAL HYUNDAI GURUGRAM near IOC Petrol Pump, Wazirabad, Sector 52A, Gurugram, Haryana 122003",https://drive.google.com/drive/folders/12W6PXvvVoibvwwBo-X2zeULl0M_A40Tj
115,DC- -Maruti Suzuki CELERIO ZXI AMT DL2CAY6415 PETROL 2018,128000,Hiralal Motors Private Limited - Hilltop Motors (A Unit of Hiralal Motors)- 5109RANCHI MUZA PUNDAG RANCHI RANCHI - 834005,https://drive.google.com/drive/folders/1f4vGja8ixwwwb4tqVKJ8yfEEO_KKC165
116,DC- -Tata Nexon XM 1.2 RTN BS4 DL1CX9587 PETROL-CNG 2018,150000,"Tata Motors Cars Service Centre - Sagar Motors, Greater Noida C 4, Site, 4, Greater Noida, Block E, Alpha I, Noida, Greater Noida, Uttar Pradesh 201306",https://drive.google.com/drive/folders/1naf1foh8u_flCLWxJelR_F155DtLZF1L
117,DC- -Tata Nexon XE RTN BS6 PH2 DL12CW9382 PETROL 2023,200000,"Shankar Garage ,Prayagraj",https://drive.google.com/drive/folders/1HfZcyAEDwnbVmi5eGt-4f27QBFrN00ah
118,DC- -MG Hector PE 1.5 DCT SHARP BSVI DL12CS8661 PETROL 2020,298000,"MG Motor Sai Shreeja Service Center Plot no: B-67, Pocket B, Okhla Phase I, Saidabad, New Delhi, Delhi 110020",https://drive.google.com/drive/folders/1B5C-NLF93kaBEHeQB-h3fQ2gVH-tfCe7
119,DC- -Maruti Suzuki CELERIO VXI GREEN DL12CN5929 PETROL-CNG 2018,128000,"Shree Naina Motors, Ambala",https://drive.google.com/drive/folders/1U0wTVxo7hQgQ74N-20vnGKG_Sh1Q9cZe
120,DC- -Maruti Suzuki Zen VXI-ESTILO BS4 DL12CC0254 PETROL 2011,30000,"Garuda Auto Care,Peelamedu, Coimbatore",https://drive.google.com/drive/folders/1r0i_nc-H7wbpZ4Y5unEpd1_UmFsEZZh4
121,DC- -Maruti Baleno Sigma Petrol DL07CM7873 PETROL 2017,145000,M/s. Motorcraft Sales Noida Sector 140,https://drive.google.com/drive/folders/1rfrvFn2Dn5sXXxtRNTrUJYbfmQJgLkVz
122,DC- -Maruti Suzuki Ciaz SMART HYBRID AT ALPHA CH01BX9967 PETROL HYBRID 2019,163000,"M/s.Auric Motors, NH 62, Near Kalpatru Warehouse, Sri Ganganagar, Rajasthan - 335002.",https://drive.google.com/drive/folders/1y_KP04_a4nbF08xIaXMuKa3TH7WPSG4G
123,DC- -Mahindra Scorpio S3 MH 2WD CG29AC6594 DIESEL 2019,304000,Raman Motors - Beside Anjali Hospital Pachpedi Naka Raipur Chattisgarh,https://drive.google.com/drive/folders/1mxJCYNl7S0lIq6du60H9T3KSi9CdJ8_J
124,DC- -Mahindra Bolero NEO N8 CG13AZ2746N DIESEL 2024,200000,auto centre Raipur Chhatisgarth,https://drive.google.com/drive/folders/1vRvIL847sSkohXjuxwu4wutgAKTOTsZx
125,DC- -Maruti Suzuki S Presso VXI+ CG13AV6335 PETROL 2023,106000,SATYA AUTO JANJGIR,https://drive.google.com/drive/folders/1vny2c_x68Xc7HZAZnHu3JB95Rz-W1pip
126,DC- -Maruti Swift VXI BSiv CG04LS4971 PETROL 2017,135000,SPARSH AUTOMOBILE PVT LTD (5193) RAIPUR,https://drive.google.com/drive/folders/1mZvpdc0S5m7hJDJAbVUD7gTIHZEB0hbH
127,DC- -Maruti Suzuki Ertiga SMART HYBRID ZXI+ AP39CB6411 PETROL 2019,196000,"Nexus - #436/2/390/2 2nd main KHB Colony ,",https://drive.google.com/drive/folders/1ajNdAo3PKm_rMtVYXIL-eWibTNonwyoO
128,DC- -Tata Punch adv+ 1.2 CNG 25BH0640R PETROL-CNG 2025,175000,"AT Padmaja Motors , NANDED",https://drive.google.com/drive/folders/1rmaoO6AFq5Ap9XIXa73nhu4DmgMiEPiv
